Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9518985562324523,0.01875123077630997,0.36314143614528754,0.3051000831945755,14.531066156018683,0.5368917435407639
2,0.9999711399078369,0.018012037623673677,0.6268679585456848,0.6243030383586884,13.229825604628505,0.6296196207404137
3,1.0051941680908203,0.01760647363215685,0.5200305051803589,0.526742667555809,13.741067706279516,0.6617601588368416
4,0.9999767217636109,0.01736231444403529,0.5286251785755157,0.5292792761325836,14.553283187253896,0.7082881778478622
5,1.0021234374046326,0.01741691579669714,0.6013076167106628,0.6026163523197174,19.31510563806504,0.7474613040685654
6,1.0004991211891174,0.01703640827164054,0.5908794429302215,0.5895510303974152,19.123131189542026,0.817974641919136
7,1.001624550819397,0.016882711995393037,0.6053844950199128,0.6065036325454712,15.572864786299018,0.6408081501722336
8,1.0006766490936279,0.016710437655448912,0.609128133058548,0.6090886478424072,17.768498406193597,0.6215668842196465
9,0.9991224446296691,0.01681718196719885,0.5809686806201935,0.5795743899345398,16.521668341699318,0.6274309381842613
10,1.0009700255393983,0.01740304668992758,0.5962035868167878,0.5968025784492492,17.361925736691404,0.6640754044055939
